sysTime,serialLOG
6:7:24:4:67108,"%,1,6,57.96,20.14,-57.36,0.25,0.83,0.72,1.13,0.97
"
6:7:24:4:67316,"%,1,6,56.68,22.10,-62.71,0.65,1.09,0.77,1.49,1.26
"
6:7:24:4:67359,"%,1,6,57.48,22.80,-68.00,0.43,0.64,0.49,0.92,1.18
"
6:7:24:4:67360,"%,3,2,3,1
"
6:7:24:4:67360,"%,4,1,3
"
6:7:24:5:67591,"%,2,6,37.2897071,127.0653686,68.60,11,1.16,306.95
"
6:7:24:5:67606,"%,5,2,372.51,226.89
"
6:7:24:5:67639,"%,1,6,61.47,25.28,-75.14,0.53,1.12,0.47,1.33,1.24
"
6:7:24:5:67751,"%,1,6,63.61,23.53,-65.87,0.49,0.87,0.20,1.02,1.09
"
6:7:24:5:67863,"%,1,6,62.26,23.16,-59.13,0.30,0.53,0.21,0.64,1.00
"
6:7:24:5:67959,"%,1,6,56.94,24.09,-55.12,0.25,0.42,0.39,0.63,0.76
"
6:7:24:5:68071,"%,1,6,53.70,23.92,-53.78,0.39,0.92,0.71,1.22,0.83
"
6:7:24:5:68167,"%,1,6,50.57,23.74,-55.36,0.51,0.82,0.76,1.23,1.03
"
6:7:24:5:68246,"%,1,6,48.43,26.18,-60.30,0.82,0.76,0.59,1.26,1.24
"
6:7:24:5:68294,"%,3,2,3,1
"
6:7:24:5:68295,"%,4,1,3
"
6:7:24:6:68615,"%,2,6,37.2897148,127.0653610,69.00,11,1.40,310.61
"
6:7:24:6:68615,"%,5,2,372.53,226.74
"
6:7:24:6:68679,"%,1,6,61.97,24.85,-74.50,0.63,1.01,0.52,1.30,1.26
"
6:7:24:6:68972,"%,1,6,66.11,26.53,-69.73,0.94,1.22,0.48,1.61,1.39
"
6:7:24:6:68973,"%,1,6,70.73,24.43,-59.03,0.48,0.96,-0.08,1.08,1.33
"
6:7:24:6:68974,"%,1,6,70.49,22.28,-54.10,0.42,0.66,0.14,0.80,1.16
"
6:7:24:6:69051,"%,1,6,64.05,22.04,-50.27,0.26,0.50,0.23,0.60,0.83
"
6:7:24:6:69147,"%,1,6,57.51,23.23,-49.13,0.53,0.74,0.47,1.02,0.81
"
6:7:24:6:69258,"%,1,6,54.63,20.51,-49.76,0.46,0.85,0.58,1.12,0.92
"
6:7:24:6:69338,"%,3,2,3,1
"
6:7:24:6:69338,"%,4,1,3
"
6:7:24:7:70170,"%,3,2,3,1
"
6:7:24:7:70170,"%,4,1,3
"
6:7:24:7:70171,"%,7,1,0
"
6:7:24:8:70624,"%,2,6,37.2897300,127.0653457,68.80,10,1.29,315.15
"
6:7:24:8:70625,"%,5,2,372.73,226.40
"
6:7:24:8:70656,"%,1,6,54.60,19.89,-73.20,0.28,0.46,0.32,0.62,0.92
"
6:7:24:8:70752,"%,1,6,58.30,17.49,-79.08,0.12,0.57,0.39,0.70,0.82
"
6:7:24:8:70880,"%,1,6,58.25,16.49,-88.16,0.30,0.78,0.63,1.04,0.79
"
