gpsTime,sysTime,Lat,Lng,Alt,speed,course,bearing,dist,ctlangle,isWindCheck,isCheckWind
not defined yet,6:9:35:52:200958,37.2886,127.06429,120.4,3.05,287.45,30.77,150.77,94.13,,0
not defined yet,6:9:35:53:201896,37.288616,127.06427,118.2,3.08,314.28,32.24,150.92,104.79,,0
not defined yet,6:9:35:54:202916,37.288643,127.06427,117.0,3.16,347.76,33.08,151.22,78.8,,0
not defined yet,6:9:35:55:203911,37.28866,127.06427,116.2,0.65,347.74,33.64,149.0,45.88,,0
not defined yet,6:9:35:56:204925,37.28865,127.06427,114.7,1.39,124.61,34.17,146.95,46.43,,0
not defined yet,6:9:35:57:205884,37.28863,127.064285,113.0,3.04,149.83,33.96,147.74,-90.65,,0
not defined yet,6:9:35:58:206996,37.288605,127.06429,112.2,2.94,169.34,33.08,148.73,-116.75,,0
not defined yet,6:9:35:59:207985,37.288586,127.06429,111.2,1.79,170.16,32.24,150.92,-137.1,,0
not defined yet,6:9:36:0:208888,37.288563,127.06431,108.9,3.21,155.79,31.78,152.85,-138.38,,0
not defined yet,6:9:36:1:209895,37.28854,127.06431,108.1,2.97,166.93,30.8,154.58,-124.99,,0
not defined yet,6:9:36:2:210859,37.288525,127.06431,106.7,0.79,169.6,30.41,156.37,-136.52,,0
not defined yet,6:9:36:3:211960,37.28852,127.06432,104.6,1.37,122.33,29.96,158.51,-139.64,,0
not defined yet,6:9:36:4:212923,37.288513,127.06435,103.2,2.45,126.16,29.5,158.0,-92.83,,0
not defined yet,6:9:36:5:213886,37.288498,127.06435,101.7,1.92,161.15,28.85,157.01,-97.31,,0
not defined yet,6:9:36:6:214926,37.28848,127.06435,98.3,1.98,163.38,28.46,159.01,-132.69,,0
not defined yet,6:9:36:7:215919,37.28845,127.06437,96.6,4.3,160.03,28.14,160.68,-135.24,,0
not defined yet,6:9:36:8:216965,37.28842,127.06437,95.1,2.54,174.47,26.91,162.94,-133.12,,0
not defined yet,6:9:36:9:217875,37.288418,127.06437,93.7,0.6,175.93,26.43,165.65,-148.04,,0
not defined yet,6:9:36:10:218917,37.288418,127.06437,91.7,1.5,82.52,26.38,165.99,-149.55,,0
not defined yet,6:9:36:11:219910,37.288418,127.064384,91.5,1.6,159.11,26.38,165.99,-56.14,,0
not defined yet,6:9:36:12:220892,37.28841,127.064384,90.8,0.57,161.91,25.96,165.39,-133.15,,0
not defined yet,6:9:36:13:221982,37.288406,127.0644,89.9,2.18,119.4,25.87,165.9,-136.04,,0
not defined yet,6:9:36:14:222864,37.288406,127.0644,88.9,0.35,119.4,25.28,166.35,-94.12,,0
not defined yet,6:9:36:15:223879,37.288418,127.06441,86.8,1.3,78.45,25.28,166.35,-94.12,,0
not defined yet,6:9:36:16:224888,37.288425,127.0644,85.6,1.57,356.79,25.32,164.51,-53.13,,0
not defined yet,6:9:36:17:225870,37.288433,127.064384,83.3,1.42,336.14,25.65,164.12,28.86,,0
not defined yet,6:9:36:18:226935,37.288452,127.064384,80.5,2.68,342.19,26.22,163.86,50.08,,0
not defined yet,6:9:36:19:227928,37.28846,127.06437,78.7,1.21,337.76,26.54,161.99,44.35,,0
not defined yet,6:9:36:20:228913,37.288475,127.06436,76.4,1.47,330.23,27.09,161.92,49.33,,0
not defined yet,6:9:36:21:230204,37.288494,127.06436,73.9,2.51,356.31,27.61,160.55,57.38,,0
