sysTime,roll,pitch,yaw,ax,ay,az
4:7:53:19:66944,7.03,24.6,-130.27,0.77,-0.16,0.55
4:7:53:19:67041,3.96,26.8,-127.19,0.8,-0.16,0.6
4:7:53:19:67153,2.79,27.09,-127.52,0.84,-0.2,0.63
4:7:53:19:67233,0.64,28.74,-129.28,0.81,-0.17,0.51
4:7:53:19:67329,-2.85,34.3,-134.74,0.85,-0.27,0.58
4:7:53:20:67425,-7.81,39.73,-139.67,0.74,-0.3,0.45
4:7:53:20:67928,-14.07,34.09,-126.63,0.95,-0.13,0.63
4:7:53:20:68056,-12.89,36.49,-135.82,0.82,-0.44,0.71
4:7:53:20:68152,-13.91,42.18,-145.79,0.91,-0.08,0.41
4:7:53:20:68248,-16.92,51.44,-158.47,0.52,-0.74,0.39
4:7:53:21:68376,-23.53,54.38,-160.87,0.56,-0.51,0.2
4:7:53:21:68440,-20.15,51.34,-151.43,0.76,-0.46,0.47
4:7:53:21:68972,-12.53,39.7,-126.42,0.8,-0.18,0.61
4:7:53:21:69037,-13.93,40.73,-131.17,0.86,-0.24,0.68
4:7:53:21:69165,-17.22,44.26,-139.91,0.76,-0.37,0.51
4:7:53:21:69228,-24.85,49.08,-149.5,0.69,-0.5,0.56
4:7:53:21:69341,-31.16,51.52,-152.96,0.65,-0.33,0.39
4:7:53:22:69452,-35.08,51.17,-152.65,0.8,-0.44,0.52
4:7:53:22:69942,-24.59,47.68,-131.59,0.74,-0.25,0.54
4:7:53:22:70070,-24.95,43.94,-137.62,0.85,-0.32,0.43
4:7:53:22:70133,-24.74,42.58,-143.84,0.87,-0.6,0.65
4:7:53:22:70246,-28.6,47.48,-147.23,0.58,-0.41,0.43
4:7:53:23:70358,-32.72,51.12,-147.47,0.64,-0.35,0.43
4:7:53:23:70438,-33.22,49.76,-147.29,0.74,-0.46,0.53
4:7:53:23:70938,-29.82,40.08,-148.35,0.59,-0.67,0.65
4:7:53:23:71051,-33.97,45.28,-148.61,0.55,-0.43,0.51
4:7:53:23:71162,-36.23,47.54,-148.86,0.63,-0.32,0.33
4:7:53:23:71242,-35.8,46.22,-147.9,0.76,-0.42,0.48
4:7:53:23:71338,-34.9,44.78,-146.02,0.9,-0.37,0.58
4:7:53:24:71466,-38.09,48.78,-148.32,0.49,-0.51,0.44
4:7:53:24:71944,-33.73,44.04,-152.38,0.63,-0.64,0.57
4:7:53:24:72040,-35.94,45.52,-153.46,0.61,-0.5,0.41
4:7:53:24:72136,-35.27,47.59,-149.63,0.67,-0.49,0.36
4:7:53:24:72264,-34.11,46.85,-145.03,0.72,-0.67,0.6
4:7:53:24:72343,-33.24,48.58,-136.56,0.75,-0.32,0.44
4:7:53:25:72439,-30.41,49.84,-127.94,0.76,-0.35,0.47
4:7:53:25:72960,-18.2,59.64,-116.2,0.74,-0.33,0.26
4:7:53:25:73071,-19.42,59.1,-122.02,0.9,-0.22,0.22
4:7:53:25:73151,-19,57.09,-123.02,0.8,-0.5,0.45
4:7:53:25:73248,-20.81,54.76,-117.73,0.74,-0.3,0.52
4:7:53:25:73343,-18.43,53.99,-109.11,0.98,0.07,0.68
4:7:53:26:73456,-19.16,57.57,-113.21,0.65,-0.19,0.66
4:7:53:26:73960,-13.66,53.81,-117.49,0.86,-0.15,0.4
4:7:53:26:74040,-14.15,54.93,-121.76,0.8,-0.26,0.48
4:7:53:26:74136,-18.7,54.61,-129.65,1.06,0,0.33
4:7:53:26:74232,-25.65,58.99,-138.97,0.73,-0.45,0.52
4:7:53:26:74343,-28.49,63.07,-138.25,0.6,-0.4,0.36
4:7:53:27:74456,-24.42,61.24,-126.93,0.8,-0.16,0.41
4:7:53:27:74952,-27.01,51.78,-115.23,0.88,-0.13,0.48
4:7:53:27:75033,-23.72,57.53,-114.09,0.87,-0.19,0.53
4:7:53:27:75144,-25.68,60.41,-118.95,0.69,-0.35,0.47
4:7:53:27:75240,-23.41,62.14,-117.43,0.74,-0.25,0.5
4:7:53:27:75336,-20.19,61.55,-112.22,0.82,0.06,0.2
4:7:53:28:75449,-13.01,58.25,-109.44,1,-0.1,0.48
4:7:53:28:75947,-13.39,55.04,-114.13,0.91,-0.22,0.66
4:7:53:28:76043,-14.11,50.66,-113.87,0.87,-0.16,0.63
4:7:53:28:76139,-12.72,51.59,-115.62,1.05,-0.03,0.76
4:7:53:28:76250,-14.5,54.9,-126.68,0.78,-0.38,0.54
4:7:53:29:76346,-18.37,59.78,-132.56,0.71,-0.28,0.41
4:7:53:29:76442,-16.29,62.01,-129.92,0.96,-0.1,0.48
4:7:53:29:76938,-16.2,61.78,-112.52,0.82,-0.06,0.4
4:7:53:29:77050,-15.54,60.24,-112.11,0.77,-0.23,0.5
4:7:53:29:77146,-16.53,53.92,-111.01,0.78,-0.22,0.61
4:7:53:29:77243,-12.69,50.76,-103.03,0.83,-0.01,0.51
4:7:53:29:77338,-9.09,48.25,-100.68,0.83,-0.07,0.62
4:7:53:30:77466,-6.59,48.24,-101.93,0.98,0.02,0.7
4:7:53:30:77951,-11.24,54.82,-125.88,0.71,-0.22,0.52
4:7:53:30:78047,-13.27,53.08,-134.2,0.73,-0.35,0.64
4:7:53:30:78144,-9.74,51.83,-135.58,0.78,-0.24,0.76
4:7:53:30:78239,-7.98,51.45,-134.64,0.73,0.04,0.59
4:7:53:31:78352,-7.99,49.1,-133.85,0.88,0.14,0.63
4:7:53:31:78432,-4.2,50.99,-129.59,0.72,0.07,0.6
4:7:53:31:78949,-1.39,49.39,-121.6,0.68,0.13,0.71
4:7:53:31:79076,-0.39,48.38,-123.36,0.7,0,0.62
4:7:53:31:79142,0.54,43.9,-127.79,0.89,-0.13,0.68
4:7:53:31:79237,-0.66,45.94,-132.27,0.75,-0.16,0.58
4:7:53:32:79348,-1.34,46.52,-129.72,0.75,-0.02,0.83
4:7:53:32:79444,0.44,48.87,-123.26,0.65,0.14,0.54
4:7:53:32:79927,-8.34,47.31,-124.11,0.85,0.21,0.49
4:7:53:32:80022,-3.93,46.01,-120.49,0.88,-0.22,0.7
4:7:53:32:80150,-0.74,47.83,-115.72,0.76,-0.24,0.58
4:7:53:32:80246,-2.86,49.08,-110.76,0.71,-0.1,0.76
4:7:53:32:80342,-3.09,50.77,-102.81,0.74,0.17,0.54
4:7:53:33:80438,-0.91,52.23,-96.37,0.85,-0.03,0.88
4:7:53:33:80931,1.33,58.75,-100,0.85,-0.09,0.6
4:7:53:33:81027,2.69,58.86,-97.67,0.8,0.08,0.51
4:7:53:33:81139,3.39,59.49,-96.68,0.81,0.13,0.56
4:7:53:33:81234,3.83,60.25,-97.04,0.8,0.11,0.5
4:7:53:34:81346,1,61.52,-100.31,0.78,0.02,0.5
4:7:53:34:81443,-3.35,62.35,-103.51,0.87,0.04,0.46
