sysTime,roll,pitch,yaw,ax,ay,az,root,ave
4:10:5:14:208812,1.51,2.38,-144.05,0.21,-0.04,1.03,1.051950569,1.015305781
4:10:5:15:208892,1.72,2.3,-144.06,-0.04,0.03,0.85,0.851469318,0.955876469
4:10:5:15:209355,1.44,2.73,-144.14,0.07,-0.14,1.02,1.031939921,0.978453269
4:10:5:15:209435,1.41,2.94,-144.06,0.01,0.08,0.87,0.873727646,0.919045628
4:10:5:15:209531,1.4,2.94,-144.02,0.09,-0.12,1.06,1.070560601,0.992076056
4:10:5:15:209611,1.34,2.74,-144.01,0.05,0.14,1,1.010989614,0.98509262
4:10:5:15:209706,1.47,2.91,-143.96,0.08,-0.09,0.94,0.947681381,1.009743865
4:10:5:15:209818,1.51,2.72,-143.94,0.11,-0.04,1.03,1.036629153,0.998433383
4:10:5:16:210298,0.79,2.5,-144.13,0.29,-0.1,0.96,1.007819428,0.997376654
4:10:5:16:210410,0.78,2.65,-144.11,-0.1,-0.03,0.93,0.935841867,0.993430149
4:10:5:16:210506,0.81,2.61,-144.15,0.12,0.12,1,1.014297787,0.985986361
4:10:5:16:210601,0.86,2.65,-144.2,0.1,-0.03,0.99,0.995489829,0.981876494
4:10:5:16:210730,0.94,2.57,-144.24,-0.04,-0.03,0.96,0.961301201,0.990362939
4:10:5:16:210794,1.28,2.51,-144.14,-0.01,0.1,1.03,1.034891299,0.997227443
4:10:5:17:210890,1.37,2.5,-144.03,-0.29,0.14,0.95,1.00309521,0.99976257
4:10:5:17:211310,1.18,2.68,-144.08,0.16,-0.12,0.93,0.951262319,0.996416276
4:10:5:17:211437,0.96,2.66,-144.08,-0.08,-0.02,0.85,0.853990632,0.936116054
4:10:5:17:211501,0.99,2.83,-144.09,0.11,-0.12,1.05,1.062544117,0.955932356
4:10:5:17:211597,1.03,3,-144.05,0.09,0.08,0.98,0.987370245,0.967968331
4:10:5:17:211726,0.98,3.06,-143.97,0.05,0.08,0.87,0.875099994,0.975004785
4:10:5:17:211837,0.84,3.22,-144,0.22,0.07,0.92,0.948525171,0.93699847
4:10:5:18:212333,1.02,3.79,-144.67,0.14,-0.07,1.02,1.031939921,0.951855029
4:10:5:18:212461,1.2,3.83,-144.67,-0.04,-0.15,0.9,0.913290753,0.964585282
4:10:5:18:212509,1.26,4.07,-144.72,0.36,-0.03,0.96,1.02571926,0.990316645
4:10:5:18:212621,1.32,4.09,-144.68,0,0.04,0.92,0.920869155,0.953293056
4:10:5:18:212701,1.39,3.94,-144.72,0.02,0.04,0.86,0.861162006,0.935916807
4:10:5:18:212813,1.16,3.92,-144.79,-0.06,0.06,1.05,1.053422992,0.945151384
4:10:5:19:213327,0.79,3.12,-145.02,0.18,0.02,0.91,0.92784697,0.947477323
4:10:5:19:213391,0.87,3.04,-145.08,0.24,-0.12,1.05,1.083743512,1.021671158
4:10:5:19:213503,0.66,2.8,-145.19,0.09,-0.01,1.02,1.024011719,1.0118674
4:10:5:19:213615,0.64,2.71,-145.22,0.13,0.08,0.92,0.932577075,1.013444102
4:10:5:19:213839,0.81,2.4,-145.26,0.2,-0.02,0.99,1.010198,0.988928931
4:10:5:20:213855,0.91,2.44,-145.26,0.13,-0.15,1.05,1.068597211,1.003790762
4:10:5:20:214441,0.81,2.91,-145.5,0.04,0.1,1.02,1.025670512,1.034821908
4:10:5:20:214441,0.92,2.92,-145.41,0.25,0.01,0.98,1.011434625,1.035234116
4:10:5:20:214490,0.98,2.56,-145.28,0.32,-0.19,0.97,1.038941769,1.025348969
4:10:5:20:214617,0.8,2.55,-145.09,0,-0.12,0.86,0.868331734,0.972902709
4:10:5:20:214729,0.65,2.55,-144.89,0.29,-0.04,0.87,0.917932459,0.941735321
4:10:5:21:214889,0.59,2.5,-144.77,0.11,-0.16,1.06,1.077636302,0.954633499
4:10:5:21:215345,-0.28,2.41,-144.37,-0.24,0.17,1.01,1.051950569,1.015839777
4:10:5:21:215409,-0.41,2.31,-144.38,-0.12,0.18,1.01,1.032908515,1.054165129
4:10:5:21:215537,-0.5,2.32,-144.4,-0.01,0.1,1.03,1.034891299,1.039916794
4:10:5:21:215745,-0.62,2.11,-144.29,-0.31,0.18,1.03,1.090596167,1.05279866
4:10:5:21:215745,-0.62,2.08,-144.11,-0.12,0.15,1.02,1.037930634,1.0544727
4:10:5:21:215792,-0.66,2.08,-143.99,0.08,0.05,1.03,1.034311365,1.054279389
4:10:5:22:216324,-0.11,1.9,-144.01,-0.03,-0.1,0.89,0.896102673,0.989448224
4:10:5:22:216561,-0.16,2.14,-144,0.07,-0.08,0.93,0.936055554,0.955489864
4:10:5:22:216578,-0.04,2.19,-144.04,0.12,-0.12,1.02,1.034021276,0.955393168
4:10:5:22:216673,0.11,2.23,-144.13,-0.03,-0.04,0.93,0.931343116,0.967139982
4:10:5:22:216754,0.3,2.41,-144.23,-0.02,-0.07,0.94,0.942814934,0.969393109
4:10:5:22:216818,0.15,2.28,-144.32,0.05,-0.26,1.03,1.063484838,0.979214296
4:10:5:23:217288,0.59,2.05,-144.03,0.18,-0.1,1.03,1.050380883,1.018893552
4:10:5:23:217433,0.64,2.17,-144.01,0.27,-0.01,0.99,1.026206607,1.046690776
4:10:5:23:217497,0.81,2.45,-144,0.02,0.09,0.98,0.984327181,1.020304891
4:10:5:23:217593,0.87,2.47,-144.02,0.16,-0.04,0.93,0.944510455,0.985014748
4:10:5:23:217704,1.03,2.77,-144.1,0.09,-0.12,0.91,0.922279784,0.950372474
4:10:5:23:217832,1.27,3.22,-144.25,-0.1,-0.02,1.05,1.054940757,0.973910332
4:10:5:24:218350,0.83,3.15,-145.07,0.22,0.05,1.04,1.064189833,1.013803458
4:10:5:24:218446,0.79,2.82,-145.26,0.1,0.09,1,1.009009415,1.042713335
4:10:5:24:218574,0.76,2.53,-145.45,0.18,-0.05,1.04,1.056645636,1.043281628
4:10:5:24:218638,0.87,2.16,-145.51,0.1,0.08,0.97,0.978417089,1.014690713
4:10:5:24:218750,0.85,1.69,-145.36,0.35,-0.08,0.96,1.024939023,1.020000583
4:10:5:24:218798,0.54,1.64,-145.08,0.15,-0.22,0.96,0.996242942,0.999866351
4:10:5:25:219311,0.22,3.04,-143.82,-0.06,-0.06,0.97,0.973704267,0.998295411
4:10:5:25:219456,1.44,3.72,-144.18,0.03,-0.01,1.06,1.060471593,1.010139601
4:10:5:25:219552,2.14,4.29,-144.5,-0.02,0.05,0.91,0.911592014,0.981922625
4:10:5:25:219600,2.48,4.45,-144.96,0.06,-0.12,0.89,0.900055554,0.957373054
4:10:5:25:219696,2.37,4.45,-145.28,0.18,-0.21,0.97,1.008662481,0.94010335
4:10:5:25:219792,1.59,4.68,-145.56,0.08,0.06,0.9,0.905538514,0.938085516
4:10:5:26:220813,0.56,2.52,-145.23,-0.07,0.09,0.97,0.976678043,0.963626346
4:10:5:27:220877,0.68,2.38,-144.96,0.16,0.02,0.86,0.874985714,0.919067424
4:10:5:27:220917,0.68,2.36,-144.73,0.07,-0.05,1,1.00369318,0.951785646
4:10:5:27:220917,0.49,2.64,-144.47,0.05,-0.01,1.09,1.091192009,0.989956968
4:10:5:27:220918,0.48,2.73,-144.19,0.19,-0.01,0.95,0.968865316,1.021250168
4:10:5:27:220934,0.57,2.75,-143.92,-0.17,0.06,0.91,0.927685291,0.995914205
4:10:5:27:221318,1.76,3.9,-143.44,-0.17,-0.01,1.05,1.063719888,0.986756832
4:10:5:27:221398,1.71,3.86,-143.65,0.19,-0.12,0.94,0.966488489,0.985964556
4:10:5:27:221557,1.59,3.43,-143.68,-0.12,-0.02,0.9,0.908185003,0.97946446
4:10:5:27:221605,1.57,3.54,-143.74,0.18,0.01,0.91,0.927685291,0.934119595
4:10:5:27:221733,1.93,3.82,-143.89,-0.09,0.16,1.06,1.075778788,0.970549694
4:10:5:27:221797,2.61,3.77,-144.13,0.27,0.06,1.04,1.076150547,1.026538209
4:10:5:28:221940,3.4,3.63,-144.37,-0.13,0.2,0.97,0.998899394,1.050276243
4:10:5:28:222339,4.3,4.51,-145.15,0.01,0.03,0.97,0.970515327,1.015188423
4:10:5:28:222436,4.11,4.68,-145.4,0.15,0.11,1.01,1.026985881,0.998800201
4:10:5:28:222498,3.72,4.62,-145.61,0.25,-0.11,1.02,1.055935604,1.017812271
4:10:5:28:222627,3.11,4.34,-145.68,0.09,-0.07,0.96,0.966747123,1.016556203
4:10:5:28:222707,2.54,3.59,-145.74,0.09,0.12,0.95,0.961769203,0.99481731
4:10:5:28:222835,1.77,2.85,-145.75,-0.13,-0.09,0.99,1.002546757,0.977021028
4:10:5:29:223293,1.17,3.15,-145.94,-0.01,0.16,0.93,0.943716059,0.969344006
4:10:5:29:223517,1.55,3.71,-145.85,0.03,-0.03,0.9,0.900999445,0.94908742
4:10:5:29:223517,1.72,4.53,-145.75,0.14,0.18,0.98,1.006180898,0.950298801
4:10:5:29:223677,1.98,5.16,-145.69,0.14,-0.05,0.96,0.971442227,0.959540857
4:10:5:29:223693,2.27,5.78,-145.74,0.13,0.06,0.97,0.980510071,0.986044399
4:10:5:29:223805,2.36,5.91,-145.82,0.08,-0.03,1.01,1.013607419,0.988519906
4:10:5:30:224394,1.13,3.1,-145.86,0.15,-0.1,0.94,0.95713113,0.98374954
4:10:5:30:224427,0.72,2.64,-145.65,0.08,0.1,1.05,1.057780696,1.009506415
4:10:5:30:224523,0.43,2.24,-145.47,0.19,-0.06,1,1.019656805,1.011522877
4:10:5:30:224650,0.17,2.06,-145.46,0.37,0.09,1.02,1.088760763,1.055399421
4:10:5:30:224746,0.27,2.2,-145.48,0.07,-0.16,1.07,1.08415866,1.064192076
4:10:5:31:224842,0.62,2.3,-145.5,0.2,0.14,1.03,1.058536726,1.07715205
4:10:5:31:225339,2.43,4.28,-145.36,-0.04,-0.05,0.96,0.962133047,1.034942811
4:10:5:31:225499,2.94,5.01,-145.25,0.07,0.13,0.91,0.921900212,0.980856661
4:10:5:31:225514,3.18,5.46,-145.37,-0.17,0.09,0.96,0.979081202,0.954371487
4:10:5:31:225626,3.29,5.2,-145.52,-0.01,0.06,0.94,0.941966029,0.947649148
4:10:5:31:225691,3,4.62,-145.67,0.25,-0.06,0.98,1.013163363,0.978070198
4:10:5:31:225819,2.54,3.91,-145.77,0.07,0.02,1.06,1.062497059,1.005875484
4:10:5:32:226432,0.14,0.91,-145.82,-0.05,-0.09,0.98,0.985393322,1.020351248
4:10:5:32:226432,0,0.95,-145.94,0.15,0.04,0.87,0.883742044,0.977210808
4:10:5:32:226543,0.14,1.27,-146.08,-0.15,0.2,0.98,1.011385189,0.960173518
4:10:5:32:226608,0.45,2.14,-146.06,0.28,0.11,0.94,0.986965045,0.960697426
4:10:5:32:226720,1.01,3.12,-145.88,-0.09,-0.12,0.93,0.942019108,0.980123114
4:10:5:32:226815,1.95,4.34,-145.6,0.12,-0.01,0.98,0.987370245,0.972118133
4:10:5:33:227323,2.3,4.27,-146.09,0.16,0.03,0.99,1.003294573,0.977561309
4:10:5:33:227387,1.57,3.58,-146.03,0.07,0.03,0.92,0.923146792,0.971270537
4:10:5:33:227498,0.79,2.64,-146.11,-0.19,-0.13,0.96,0.987218314,0.971219893
4:10:5:33:227738,0.24,2.08,-145.9,0.05,0.25,0.93,0.964313227,0.958226111
4:10:5:33:227738,-0.12,1.51,-145.48,-0.17,0.15,0.92,0.947523087,0.966351543
4:10:5:33:227787,-0.62,1.18,-145.26,0.14,-0.13,0.92,0.939627586,0.950487967
4:10:5:34:228309,1.25,3.68,-145.14,-0.14,0.27,1.01,1.054798559,0.980649744
4:10:5:34:228629,1.67,4.48,-144.99,0.01,0.31,1.03,1.075685828,1.023370658
4:10:5:34:228831,2.38,5.23,-144.78,0.09,0.06,1,1.005832988,1.045439125
4:10:5:34:228831,3.19,5.95,-144.58,0.24,-0.04,1,1.029174426,1.036897747
4:10:5:34:228831,3.76,6.35,-144.58,0.21,-0.23,1.02,1.066489569,1.033832328
4:10:5:35:228863,3.74,6.03,-144.73,0.23,-0.14,0.96,0.997045636,1.03090321
4:10:5:35:229375,0.94,2.94,-144.6,0.34,-0.1,0.88,0.948683298,1.004072834
4:10:5:35:229422,0.49,2.87,-144.43,-0.08,0,1.05,1.053043209,0.999590714
4:10:5:35:229503,0.44,2.55,-144.2,0.35,-0.06,0.98,1.042353107,1.014693205
4:10:5:35:229679,0.5,2.54,-144,0.06,0.07,1.12,1.123788236,1.073061517
4:10:5:35:229694,0.66,2.71,-143.82,0.15,-0.17,0.98,1.005882697,1.057341347
4:10:5:35:229823,1.15,3.09,-143.76,0,0.24,0.96,0.98954535,1.039738761
4:10:5:36:229912,1.56,3.37,-143.91,0.19,0.09,0.95,0.972985098,0.989471048
4:10:5:36:230406,3.22,4.09,-144.13,0.3,0.2,0.77,0.850235262,0.93758857
4:10:5:36:230535,3.56,4.54,-144.05,-0.21,0.08,0.71,0.74471471,0.855978357
4:10:5:36:230582,3.71,4.84,-143.94,0.06,-0.12,0.68,0.693108938,0.762686303
4:10:5:36:230598,3.93,4.79,-143.98,0.17,0.01,0.72,0.739864853,0.725896167
4:10:5:36:230710,4.09,4.56,-143.99,0.24,0.08,0.67,0.716170371,0.716381387
4:10:5:37:230870,4.27,4.29,-144.04,0.14,-0.03,0.71,0.724292758,0.726775994
4:10:5:37:231299,4.49,4.17,-144.67,-0.14,0.06,0.8,0.814370923,0.751611351
4:10:5:37:231459,4.47,4.25,-144.87,0.43,0.22,0.72,0.867006344,0.801890008
4:10:5:37:231491,4.35,4.13,-144.98,-0.02,0.1,0.89,0.895823643,0.85906697
4:10:5:38:232110,4.38,4.03,-145.06,0,0.01,0.86,0.860058138,0.874296042
4:10:5:38:232111,4.48,3.94,-145.07,-0.13,0.09,0.9,0.913783344,0.889888375
