sysTime,serialLOG
11:22:42:49:40972,"%,1,6,2.59,-3.24,-78.54,-0.06,0.05,0.99
"
11:22:42:50:41067,"%,1,6,2.60,-3.24,-78.56,-0.05,0.03,0.99
"
11:22:42:50:41146,"%,3,1,3
"
11:22:42:50:41147,"%,4,1,4
"
11:22:42:51:42152,"%,3,1,3
"
11:22:42:51:42153,"%,4,1,4
"
11:22:42:51:42368,"%,2,6,37.3548469,127.1184692,57.20,12,0.00,211.59
"
11:22:42:51:42369,"%,5,2,8762.59,214.64
"
11:22:42:51:42369,"[440610] Turn winch(auto):
"
11:22:42:51:42370,"[440611] 3.05
"
11:22:42:51:42370,"%,6,2,3.05,-22.65
"
11:22:42:51:42372,"%,1,6,2.60,-3.23,-78.68,-0.05,0.03,0.99
"
11:22:42:51:42482,"%,1,6,2.61,-3.22,-78.70,-0.06,0.04,0.98
"
11:22:42:51:42559,"%,1,6,2.62,-3.22,-78.71,-0.04,0.05,0.98
"
11:22:42:51:42671,"%,1,6,2.60,-3.23,-78.71,-0.05,0.05,1.00
"
11:22:42:51:42767,"%,1,6,2.60,-3.24,-78.70,-0.05,0.03,1.00
"
11:22:42:51:42880,"%,1,6,2.61,-3.23,-78.70,-0.06,0.04,0.97
"
11:22:42:51:42975,"%,1,6,2.61,-3.23,-78.70,-0.06,0.05,0.98
"
11:22:42:52:43070,"%,1,6,2.59,-3.23,-78.70,-0.05,0.04,1.00
"
11:22:42:52:43134,"%,3,1,3
"
11:22:42:52:43134,"%,4,1,4
"
11:22:42:53:44140,"%,3,1,3
"
11:22:42:53:44140,"%,4,1,4
"
11:22:42:53:44346,"%,2,6,37.3548469,127.1184692,57.40,12,0.00,211.59
"
11:22:42:53:44367,"%,5,2,8762.59,214.64
"
11:22:42:53:44368,"[442618] Turn winch(auto):
"
11:22:42:53:44369,"[442618] 3.05
"
11:22:42:53:44369,"%,6,2,3.05,-22.65
"
11:22:42:53:44384,"%,1,6,2.58,-3.25,-78.27,-0.05,0.06,0.98
"
11:22:42:53:44465,"%,1,6,2.58,-3.24,-78.27,-0.06,0.02,0.99
"
11:22:42:53:44560,"%,1,6,2.60,-3.24,-78.26,-0.06,0.03,0.99
"
11:22:42:53:44673,"%,1,6,2.60,-3.22,-78.27,-0.07,0.04,0.97
"
11:22:42:53:44784,"%,1,6,2.60,-3.22,-78.29,-0.05,0.05,0.98
"
11:22:42:53:44880,"%,1,6,2.58,-3.20,-78.28,-0.01,0.05,0.99
"
11:22:42:53:44976,"%,1,6,2.40,-2.97,-78.27,-0.02,-0.00,0.98
"
11:22:42:54:45073,"%,1,6,2.09,-2.59,-78.27,-0.01,0.01,0.98
"
11:22:42:54:45136,"%,3,1,2
"
11:22:42:54:45136,"%,4,1,4
"
11:22:42:55:46142,"%,3,1,3
"
11:22:42:55:46143,"%,4,1,4
"
11:22:42:55:46356,"%,2,6,37.3548469,127.1184692,58.00,12,2.95,211.30
"
11:22:42:55:46379,"%,5,2,8762.59,214.64
"
11:22:42:55:46380,"[444636] Turn winch(auto):
"
11:22:42:55:46381,"[444638] 3.34
"
11:22:42:55:46382,"%,6,2,3.34,-22.65
"
11:22:42:55:46476,"%,1,6,-2.62,2.54,-78.07,0.05,-0.09,0.94
"
11:22:42:55:46573,"%,1,6,-2.91,3.00,-78.03,0.09,-0.03,1.02
"
11:22:42:55:46670,"%,1,6,-3.25,3.42,-77.99,0.09,-0.13,0.95
"
11:22:42:55:46764,"%,1,6,-3.63,3.77,-77.95,0.11,-0.08,0.96
"
11:22:42:55:46877,"%,1,6,-4.24,4.08,-77.90,0.11,-0.11,0.95
"
11:22:42:55:46972,"%,1,6,-4.81,4.24,-77.82,0.10,-0.11,1.02
"
11:22:42:56:47085,"%,1,6,-5.09,4.48,-77.71,0.08,-0.14,1.00
"
11:22:42:56:47116,"%,3,1,3
"
11:22:42:56:47117,"%,4,1,4
"
11:22:42:57:48139,"%,3,1,3
"
11:22:42:57:48140,"%,4,1,4
"
11:22:42:57:48408,"%,2,6,37.3548049,127.1184234,58.10,12,15.26,213.53
"
11:22:42:57:48408,"%,5,2,8756.38,214.63
"
11:22:42:57:48409,"[446648] Turn winch(auto):
"
11:22:42:57:48409,"[446649] 1.10
"
11:22:42:57:48410,"%,6,2,1.10,-22.65
"
11:22:42:57:48472,"%,1,6,-4.03,3.28,-76.75,0.10,-0.12,0.99
"
11:22:42:57:48568,"%,1,6,-4.24,3.33,-76.70,0.03,-0.04,1.03
"
11:22:42:57:48696,"%,1,6,-4.35,3.42,-76.66,0.11,-0.07,1.04
"
11:22:42:57:48775,"%,1,6,-4.17,3.69,-76.56,0.08,-0.10,0.95
"
11:22:42:57:48872,"%,1,6,-4.15,3.79,-76.45,0.05,-0.05,0.99
"
11:22:42:57:48983,"%,1,6,-4.28,3.80,-76.34,0.09,-0.10,0.95
"
11:22:42:58:49095,"%,1,6,-4.34,3.77,-76.17,-0.12,-0.06,1.09
"
11:22:42:58:49096,"%,3,1,3
"
11:22:42:58:49127,"%,4,1,4
"
11:22:42:59:50118,"%,3,1,3
"
11:22:42:59:50118,"%,4,1,4
"
11:22:42:59:50375,"%,2,6,37.3547172,127.1183471,58.00,12,24.52,214.90
"
11:22:42:59:50376,"%,5,2,8744.42,214.63
"
11:22:42:59:50377,"[448654] Turn winch(auto):
"
11:22:42:59:50377,"[448654] -0.27
"
11:22:42:59:50378,"%,6,2,-0.27,-22.65
"
11:22:42:59:50485,"%,1,6,-2.11,1.12,-74.69,-0.02,0.00,0.94
"
11:22:42:59:50581,"%,1,6,-1.52,0.67,-74.69,-0.08,-0.04,1.06
"
11:22:42:59:50661,"%,1,6,-1.23,0.41,-74.75,-0.04,0.03,1.00
"
11:22:42:59:50756,"%,1,6,-1.06,0.12,-74.77,0.00,0.08,1.03
"
11:22:42:59:50883,"%,1,6,-1.01,-0.05,-74.80,-0.03,-0.01,1.01
"
11:22:42:59:50964,"%,1,6,-0.85,-0.09,-74.85,-0.04,-0.00,0.97
"
11:22:43:0:51061,"%,1,6,-0.83,-0.31,-74.86,-0.06,-0.04,0.99
"
11:22:43:0:51123,"%,3,1,3
"
11:22:43:0:51124,"%,4,1,4
"
11:22:43:1:52098,"%,3,1,3
"
11:22:43:1:52115,"%,4,1,4
"
11:22:43:1:52381,"%,2,6,37.3546104,127.1182632,57.80,12,26.86,215.72
"
11:22:43:1:52382,"%,5,2,8730.36,214.64
"
11:22:43:1:52383,"[450667] Turn winch(auto):
"
11:22:43:1:52383,"[450667] -1.08
"
11:22:43:1:52383,"%,6,2,-1.08,-22.65
"
11:22:43:1:52491,"%,1,6,-0.12,0.06,-74.62,0.03,-0.04,0.91
"
11:22:43:1:52572,"%,1,6,-0.28,0.32,-74.60,-0.01,-0.02,0.98
"
11:22:43:1:52683,"%,1,6,-0.73,0.54,-74.55,-0.06,-0.16,1.02
"
11:22:43:1:52780,"%,1,6,-0.94,0.96,-74.53,-0.01,-0.13,0.95
"
11:22:43:1:52892,"%,1,6,-1.26,1.06,-74.52,0.09,-0.11,1.01
"
