sysTime,roll,pitch,yaw,ax,ay,az
4:23:52:13:571762,68.61,66.97,14.26,0.91,0.36,0.14
4:23:52:13:571842,68.4,67.18,14.16,0.91,0.35,0.14
4:23:52:13:571938,68.26,67.28,14.06,0.91,0.35,0.14
4:23:52:13:572066,68.17,67.33,13.99,0.91,0.35,0.15
4:23:52:13:572258,67.87,67.4,13.83,0.91,0.35,0.15
4:23:52:13:572354,67.76,67.52,13.88,0.9,0.35,0.15
4:23:52:13:572450,67.28,68.05,13.49,0.92,0.34,0.14
4:23:52:13:572546,66.44,68.8,12.82,0.93,0.31,0.14
4:23:52:13:572657,66.16,68.68,12.1,0.92,0.33,0.15
4:23:52:14:572753,66.14,68.57,11.47,0.92,0.33,0.15
4:23:52:14:572850,66.33,68.41,11.28,0.92,0.33,0.14
4:23:52:14:573441,71.31,64.52,17.12,0.88,0.41,0.13
4:23:52:14:573537,71.16,64.64,17.23,0.9,0.39,0.14
4:23:52:14:573665,71.3,64.52,17.48,0.89,0.4,0.13
4:23:52:15:573761,71.48,64.24,17.63,0.88,0.42,0.14
4:23:52:15:573857,71.33,64.35,17.63,0.89,0.4,0.14
4:23:52:15:573953,71.21,64.54,17.57,0.89,0.4,0.13
4:23:52:15:574048,71.25,64.45,17.51,0.9,0.4,0.13
4:23:52:15:574256,72.56,61.82,17.73,0.86,0.46,0.14
4:23:52:15:574352,72.36,61.65,17.81,0.88,0.44,0.14
4:23:52:15:574448,72.05,61.79,17.66,0.87,0.44,0.14
4:23:52:15:574544,71.71,62.07,17.55,0.87,0.45,0.14
4:23:52:15:574656,71.05,62.86,17.33,0.89,0.41,0.15
4:23:52:16:574752,71.19,62.66,17.48,0.87,0.44,0.14
4:23:52:16:574848,71.35,62.6,17.81,0.88,0.43,0.14
4:23:52:16:575439,71.85,62.95,19.67,0.88,0.42,0.14
4:23:52:16:575551,71.82,63.12,19.66,0.88,0.43,0.13
4:23:52:16:575631,71.69,63.29,19.54,0.88,0.43,0.13
4:23:52:17:575744,71.22,63.73,19.29,0.89,0.41,0.14
4:23:52:17:575855,71.14,63.97,19.24,0.9,0.4,0.14
4:23:52:17:575951,71.55,63.09,19.02,0.88,0.44,0.14
4:23:52:17:576047,71.35,62.98,18.7,0.87,0.44,0.14
4:23:52:17:576239,69.33,64.84,16.59,0.89,0.4,0.16
4:23:52:17:576334,69.82,64.95,17.32,0.92,0.36,0.14
4:23:52:17:576446,70.8,62.85,17.43,0.86,0.44,0.15
4:23:52:17:576543,72.22,60.62,18.81,0.84,0.49,0.15
4:23:52:17:576638,72.63,59.86,19.98,0.87,0.45,0.14
4:23:52:18:576750,73.16,58.85,20.74,0.83,0.52,0.13
4:23:52:18:576862,73.14,58.89,21.16,0.84,0.49,0.15
4:23:52:18:577438,72.4,61.47,22.65,0.88,0.44,0.14
4:23:52:18:577533,72.77,60.76,23.5,0.86,0.47,0.15
4:23:52:18:577645,73.5,60.06,24.03,0.86,0.48,0.14
4:23:52:19:577742,73.5,60.04,23.94,0.85,0.48,0.12
4:23:52:19:577838,73.52,60.07,23.76,0.86,0.47,0.14
4:23:52:19:577933,73.57,60.12,23.59,0.85,0.47,0.14
4:23:52:19:578045,73.56,60.15,23.43,0.86,0.47,0.14
4:23:52:19:578237,73.67,60.0,23.26,0.86,0.47,0.14
4:23:52:19:578349,73.48,60.06,23.09,0.86,0.47,0.14
4:23:52:19:578445,73.34,60.04,22.9,0.86,0.46,0.15
4:23:52:19:578541,73.09,60.22,22.96,0.86,0.46,0.14
4:23:52:19:578637,72.96,60.13,23.01,0.86,0.47,0.14
4:23:52:20:578748,72.88,60.05,23.17,0.86,0.47,0.14
4:23:52:20:578845,72.93,59.78,23.35,0.85,0.47,0.14
4:23:52:20:579452,73.62,59.44,24.87,0.85,0.47,0.14
4:23:52:20:579548,73.64,59.52,24.95,0.86,0.47,0.13
4:23:52:20:579644,73.71,59.33,24.97,0.86,0.49,0.13
4:23:52:21:579740,73.52,59.47,24.89,0.85,0.49,0.14
4:23:52:21:579851,73.65,59.33,25.07,0.85,0.49,0.14
4:23:52:21:579948,73.62,59.36,25.21,0.85,0.48,0.15
4:23:52:21:580044,73.8,59.23,25.48,0.86,0.49,0.13
4:23:52:21:580252,73.54,59.8,25.41,0.85,0.48,0.14
4:23:52:21:580363,73.55,59.87,25.47,0.86,0.47,0.14
4:23:52:21:580459,73.71,59.79,25.6,0.85,0.48,0.14
4:23:52:21:580555,73.64,60.03,25.59,0.86,0.46,0.14
4:23:52:21:580651,73.69,60.04,25.68,0.85,0.48,0.14
4:23:52:22:580747,73.65,60.2,25.75,0.86,0.47,0.14
4:23:52:22:580859,73.59,60.38,25.7,0.86,0.47,0.13
4:23:52:22:581451,73.18,61.04,25.16,0.86,0.46,0.14
4:23:52:22:581546,73.15,61.0,25.12,0.86,0.46,0.14
4:23:52:22:581642,73.16,61.01,25.1,0.86,0.46,0.14
4:23:52:23:581739,73.14,61.09,25.08,0.87,0.45,0.14
4:23:52:23:581834,73.1,61.2,25.08,0.87,0.45,0.13
4:23:52:23:581946,73.08,61.15,25.0,0.86,0.46,0.14
4:23:52:23:582042,73.1,61.24,25.0,0.87,0.45,0.14
4:23:52:23:582234,73.23,61.11,25.18,0.87,0.46,0.14
4:23:52:23:582346,73.3,61.13,25.16,0.86,0.46,0.14
4:23:52:23:582458,73.3,61.32,25.02,0.87,0.44,0.14
4:23:52:23:582554,73.26,61.4,24.83,0.87,0.45,0.14
4:23:52:23:582650,73.19,61.5,24.68,0.87,0.45,0.13
4:23:52:24:582746,73.25,61.51,24.61,0.87,0.45,0.13
4:23:52:24:582842,73.18,61.54,24.48,0.87,0.45,0.14
4:23:52:24:583449,73.09,61.57,24.03,0.87,0.45,0.14
4:23:52:24:583545,73.15,61.52,24.0,0.87,0.44,0.14
4:23:52:24:583641,73.21,61.25,24.08,0.86,0.46,0.15
4:23:52:25:583737,73.32,61.32,24.2,0.87,0.45,0.14
4:23:52:25:583849,73.19,61.58,24.11,0.88,0.44,0.13
